,year,artist,track,time,date,week,place
0,2000,Destiny's Child,Independent Women Part I,3:38,2000-09-23,1,78
1,2000,Destiny's Child,Independent Women Part I,3:38,2000-09-30,2,63
2,2000,Destiny's Child,Independent Women Part I,3:38,2000-10-07,3,49
3,2000,Destiny's Child,Independent Women Part I,3:38,2000-10-14,4,33
4,2000,Destiny's Child,Independent Women Part I,3:38,2000-10-21,5,23
5,2000,Destiny's Child,Independent Women Part I,3:38,2000-10-28,6,15
6,2000,Destiny's Child,Independent Women Part I,3:38,2000-11-04,7,7
7,2000,Destiny's Child,Independent Women Part I,3:38,2000-11-11,8,5
8,2000,Destiny's Child,Independent Women Part I,3:38,2000-11-18,9,1
9,2000,Destiny's Child,Independent Women Part I,3:38,2000-11-25,10,1
10,2000,Destiny's Child,Independent Women Part I,3:38,2000-12-02,11,1
11,2000,Destiny's Child,Independent Women Part I,3:38,2000-12-09,12,1
12,2000,Destiny's Child,Independent Women Part I,3:38,2000-12-16,13,1
13,2000,Destiny's Child,Independent Women Part I,3:38,2000-12-23,14,1
14,2000,Destiny's Child,Independent Women Part I,3:38,2000-12-30,15,1
15,2000,Destiny's Child,Independent Women Part I,3:38,2001-01-06,16,1
16,2000,Destiny's Child,Independent Women Part I,3:38,2001-01-13,17,1
17,2000,Destiny's Child,Independent Women Part I,3:38,2001-01-20,18,1
18,2000,Destiny's Child,Independent Women Part I,3:38,2001-01-27,19,1
19,2000,Destiny's Child,Independent Women Part I,3:38,2001-02-03,20,2
20,2000,Destiny's Child,Independent Women Part I,3:38,2001-02-10,21,3
21,2000,Destiny's Child,Independent Women Part I,3:38,2001-02-17,22,7
22,2000,Destiny's Child,Independent Women Part I,3:38,2001-02-24,23,10
23,2000,Destiny's Child,Independent Women Part I,3:38,2001-03-03,24,12
24,2000,Destiny's Child,Independent Women Part I,3:38,2001-03-10,25,15
25,2000,Destiny's Child,Independent Women Part I,3:38,2001-03-17,26,22
26,2000,Destiny's Child,Independent Women Part I,3:38,2001-03-24,27,29
27,2000,Destiny's Child,Independent Women Part I,3:38,2001-03-31,28,31
28,2000,Santana,"Maria, Maria",4:18,2000-02-12,1,15
29,2000,Santana,"Maria, Maria",4:18,2000-02-19,2,8
30,2000,Santana,"Maria, Maria",4:18,2000-02-26,3,6
31,2000,Santana,"Maria, Maria",4:18,2000-03-04,4,5
32,2000,Santana,"Maria, Maria",4:18,2000-03-11,5,2
33,2000,Santana,"Maria, Maria",4:18,2000-03-18,6,3
34,2000,Santana,"Maria, Maria",4:18,2000-03-25,7,2
35,2000,Santana,"Maria, Maria",4:18,2000-04-01,8,2
36,2000,Santana,"Maria, Maria",4:18,2000-04-08,9,1
37,2000,Santana,"Maria, Maria",4:18,2000-04-15,10,1
38,2000,Santana,"Maria, Maria",4:18,2000-04-22,11,1
39,2000,Santana,"Maria, Maria",4:18,2000-04-29,12,1
40,2000,Santana,"Maria, Maria",4:18,2000-05-06,13,1
41,2000,Santana,"Maria, Maria",4:18,2000-05-13,14,1
42,2000,Santana,"Maria, Maria",4:18,2000-05-20,15,1
43,2000,Santana,"Maria, Maria",4:18,2000-05-27,16,1
44,2000,Santana,"Maria, Maria",4:18,2000-06-03,17,1
45,2000,Santana,"Maria, Maria",4:18,2000-06-10,18,1
46,2000,Santana,"Maria, Maria",4:18,2000-06-17,19,8
47,2000,Santana,"Maria, Maria",4:18,2000-06-24,20,15
48,2000,Santana,"Maria, Maria",4:18,2000-07-01,21,19
49,2000,Santana,"Maria, Maria",4:18,2000-07-08,22,21
50,2000,Santana,"Maria, Maria",4:18,2000-07-15,23,26
51,2000,Santana,"Maria, Maria",4:18,2000-07-22,24,36
52,2000,Santana,"Maria, Maria",4:18,2000-07-29,25,48
53,2000,Santana,"Maria, Maria",4:18,2000-08-05,26,47
54,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,1,71
55,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-30,2,48
56,2000,Savage Garden,I Knew I Loved You,4:07,1999-11-06,3,43
57,2000,Savage Garden,I Knew I Loved You,4:07,1999-11-13,4,31
58,2000,Savage Garden,I Knew I Loved You,4:07,1999-11-20,5,20
59,2000,Savage Garden,I Knew I Loved You,4:07,1999-11-27,6,13
60,2000,Savage Garden,I Knew I Loved You,4:07,1999-12-04,7,7
61,2000,Savage Garden,I Knew I Loved You,4:07,1999-12-11,8,6
62,2000,Savage Garden,I Knew I Loved You,4:07,1999-12-18,9,4
63,2000,Savage Garden,I Knew I Loved You,4:07,1999-12-25,10,4
64,2000,Savage Garden,I Knew I Loved You,4:07,2000-01-01,11,4
65,2000,Savage Garden,I Knew I Loved You,4:07,2000-01-08,12,6
66,2000,Savage Garden,I Knew I Loved You,4:07,2000-01-15,13,4
67,2000,Savage Garden,I Knew I Loved You,4:07,2000-01-22,14,2
68,2000,Savage Garden,I Knew I Loved You,4:07,2000-01-29,15,1
69,2000,Savage Garden,I Knew I Loved You,4:07,2000-02-05,16,1
70,2000,Savage Garden,I Knew I Loved You,4:07,2000-02-12,17,1
71,2000,Savage Garden,I Knew I Loved You,4:07,2000-02-19,18,2
72,2000,Savage Garden,I Knew I Loved You,4:07,2000-02-26,19,1
73,2000,Savage Garden,I Knew I Loved You,4:07,2000-03-04,20,2
74,2000,Savage Garden,I Knew I Loved You,4:07,2000-03-11,21,4
75,2000,Savage Garden,I Knew I Loved You,4:07,2000-03-18,22,8
76,2000,Savage Garden,I Knew I Loved You,4:07,2000-03-25,23,8
77,2000,Savage Garden,I Knew I Loved You,4:07,2000-04-01,24,12
78,2000,Savage Garden,I Knew I Loved You,4:07,2000-04-08,25,14
79,2000,Savage Garden,I Knew I Loved You,4:07,2000-04-15,26,17
80,2000,Savage Garden,I Knew I Loved You,4:07,2000-04-22,27,21
81,2000,Savage Garden,I Knew I Loved You,4:07,2000-04-29,28,24
82,2000,Savage Garden,I Knew I Loved You,4:07,2000-05-06,29,30
83,2000,Savage Garden,I Knew I Loved You,4:07,2000-05-13,30,34
84,2000,Savage Garden,I Knew I Loved You,4:07,2000-05-20,31,37
85,2000,Savage Garden,I Knew I Loved You,4:07,2000-05-27,32,46
86,2000,Savage Garden,I Knew I Loved You,4:07,2000-06-03,33,47
87,2000,Madonna,Music,3:45,2000-08-12,1,41
88,2000,Madonna,Music,3:45,2000-08-19,2,23
89,2000,Madonna,Music,3:45,2000-08-26,3,18
90,2000,Madonna,Music,3:45,2000-09-02,4,14
91,2000,Madonna,Music,3:45,2000-09-09,5,2
92,2000,Madonna,Music,3:45,2000-09-16,6,1
93,2000,Madonna,Music,3:45,2000-09-23,7,1
94,2000,Madonna,Music,3:45,2000-09-30,8,1
95,2000,Madonna,Music,3:45,2000-10-07,9,1
96,2000,Madonna,Music,3:45,2000-10-14,10,2
97,2000,Madonna,Music,3:45,2000-10-21,11,2
98,2000,Madonna,Music,3:45,2000-10-28,12,2
99,2000,Madonna,Music,3:45,2000-11-04,13,2
100,2000,Madonna,Music,3:45,2000-11-11,14,2
101,2000,Madonna,Music,3:45,2000-11-18,15,4
102,2000,Madonna,Music,3:45,2000-11-25,16,8
103,2000,Madonna,Music,3:45,2000-12-02,17,11
104,2000,Madonna,Music,3:45,2000-12-09,18,16
105,2000,Madonna,Music,3:45,2000-12-16,19,20
106,2000,Madonna,Music,3:45,2000-12-23,20,25
107,2000,Madonna,Music,3:45,2000-12-30,21,27
108,2000,Madonna,Music,3:45,2001-01-06,22,27
109,2000,Madonna,Music,3:45,2001-01-13,23,29
110,2000,Madonna,Music,3:45,2001-01-20,24,44
111,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,2000-08-05,1,57
112,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,2000-08-12,2,47
113,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,2000-08-19,3,45
114,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,2000-08-26,4,29
115,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,2000-09-02,5,23
116,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,2000-09-09,6,18
117,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,2000-09-16,7,11
118,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,2000-09-23,8,9
119,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,2000-09-30,9,9
120,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,2000-10-07,10,11
121,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,2000-10-14,11,1
122,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,2000-10-21,12,1
123,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,2000-10-28,13,1
124,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,2000-11-04,14,1
125,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,2000-11-11,15,4
126,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,2000-11-18,16,8
127,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,2000-11-25,17,12
128,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,2000-12-02,18,22
129,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,2000-12-09,19,23
130,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,2000-12-16,20,43
131,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,2000-12-23,21,44
132,2000,Janet,Doesn't Really Matter,4:17,2000-06-17,1,59
133,2000,Janet,Doesn't Really Matter,4:17,2000-06-24,2,52
134,2000,Janet,Doesn't Really Matter,4:17,2000-07-01,3,43
135,2000,Janet,Doesn't Really Matter,4:17,2000-07-08,4,30
136,2000,Janet,Doesn't Really Matter,4:17,2000-07-15,5,29
137,2000,Janet,Doesn't Really Matter,4:17,2000-07-22,6,22
138,2000,Janet,Doesn't Really Matter,4:17,2000-07-29,7,15
139,2000,Janet,Doesn't Really Matter,4:17,2000-08-05,8,10
140,2000,Janet,Doesn't Really Matter,4:17,2000-08-12,9,10
141,2000,Janet,Doesn't Really Matter,4:17,2000-08-19,10,5
142,2000,Janet,Doesn't Really Matter,4:17,2000-08-26,11,1
143,2000,Janet,Doesn't Really Matter,4:17,2000-09-02,12,1
144,2000,Janet,Doesn't Really Matter,4:17,2000-09-09,13,1
145,2000,Janet,Doesn't Really Matter,4:17,2000-09-16,14,2
146,2000,Janet,Doesn't Really Matter,4:17,2000-09-23,15,2
147,2000,Janet,Doesn't Really Matter,4:17,2000-09-30,16,3
148,2000,Janet,Doesn't Really Matter,4:17,2000-10-07,17,3
149,2000,Janet,Doesn't Really Matter,4:17,2000-10-14,18,7
150,2000,Janet,Doesn't Really Matter,4:17,2000-10-21,19,8
151,2000,Janet,Doesn't Really Matter,4:17,2000-10-28,20,20
152,2000,Janet,Doesn't Really Matter,4:17,2000-11-04,21,25
153,2000,Janet,Doesn't Really Matter,4:17,2000-11-11,22,37
154,2000,Janet,Doesn't Really Matter,4:17,2000-11-18,23,40
155,2000,Janet,Doesn't Really Matter,4:17,2000-11-25,24,41
156,2000,Destiny's Child,Say My Name,4:31,1999-12-25,1,83
157,2000,Destiny's Child,Say My Name,4:31,2000-01-01,2,83
158,2000,Destiny's Child,Say My Name,4:31,2000-01-08,3,44
159,2000,Destiny's Child,Say My Name,4:31,2000-01-15,4,38
160,2000,Destiny's Child,Say My Name,4:31,2000-01-22,5,16
161,2000,Destiny's Child,Say My Name,4:31,2000-01-29,6,13
162,2000,Destiny's Child,Say My Name,4:31,2000-02-05,7,16
163,2000,Destiny's Child,Say My Name,4:31,2000-02-12,8,16
164,2000,Destiny's Child,Say My Name,4:31,2000-02-19,9,16
165,2000,Destiny's Child,Say My Name,4:31,2000-02-26,10,18
166,2000,Destiny's Child,Say My Name,4:31,2000-03-04,11,17
167,2000,Destiny's Child,Say My Name,4:31,2000-03-11,12,14
168,2000,Destiny's Child,Say My Name,4:31,2000-03-18,13,1
169,2000,Destiny's Child,Say My Name,4:31,2000-03-25,14,1
170,2000,Destiny's Child,Say My Name,4:31,2000-04-01,15,1
171,2000,Destiny's Child,Say My Name,4:31,2000-04-08,16,2
172,2000,Destiny's Child,Say My Name,4:31,2000-04-15,17,2
173,2000,Destiny's Child,Say My Name,4:31,2000-04-22,18,3
174,2000,Destiny's Child,Say My Name,4:31,2000-04-29,19,5
175,2000,Destiny's Child,Say My Name,4:31,2000-05-06,20,5
176,2000,Destiny's Child,Say My Name,4:31,2000-05-13,21,5
177,2000,Destiny's Child,Say My Name,4:31,2000-05-20,22,7
178,2000,Destiny's Child,Say My Name,4:31,2000-05-27,23,10
179,2000,Destiny's Child,Say My Name,4:31,2000-06-03,24,13
180,2000,Destiny's Child,Say My Name,4:31,2000-06-10,25,14
181,2000,Destiny's Child,Say My Name,4:31,2000-06-17,26,18
182,2000,Destiny's Child,Say My Name,4:31,2000-06-24,27,23
183,2000,Destiny's Child,Say My Name,4:31,2000-07-01,28,23
184,2000,Destiny's Child,Say My Name,4:31,2000-07-08,29,34
185,2000,Destiny's Child,Say My Name,4:31,2000-07-15,30,37
186,2000,Destiny's Child,Say My Name,4:31,2000-07-22,31,43
187,2000,Destiny's Child,Say My Name,4:31,2000-07-29,32,47
188,2000,"Iglesias, Enrique",Be With You,3:36,2000-04-01,1,63
189,2000,"Iglesias, Enrique",Be With You,3:36,2000-04-08,2,45
190,2000,"Iglesias, Enrique",Be With You,3:36,2000-04-15,3,34
191,2000,"Iglesias, Enrique",Be With You,3:36,2000-04-22,4,23
192,2000,"Iglesias, Enrique",Be With You,3:36,2000-04-29,5,17
193,2000,"Iglesias, Enrique",Be With You,3:36,2000-05-06,6,12
194,2000,"Iglesias, Enrique",Be With You,3:36,2000-05-13,7,9
195,2000,"Iglesias, Enrique",Be With You,3:36,2000-05-20,8,8
196,2000,"Iglesias, Enrique",Be With You,3:36,2000-05-27,9,8
197,2000,"Iglesias, Enrique",Be With You,3:36,2000-06-03,10,6
198,2000,"Iglesias, Enrique",Be With You,3:36,2000-06-10,11,5
199,2000,"Iglesias, Enrique",Be With You,3:36,2000-06-17,12,4
200,2000,"Iglesias, Enrique",Be With You,3:36,2000-06-24,13,1
201,2000,"Iglesias, Enrique",Be With You,3:36,2000-07-01,14,1
202,2000,"Iglesias, Enrique",Be With You,3:36,2000-07-08,15,1
203,2000,"Iglesias, Enrique",Be With You,3:36,2000-07-15,16,3
204,2000,"Iglesias, Enrique",Be With You,3:36,2000-07-22,17,11
205,2000,"Iglesias, Enrique",Be With You,3:36,2000-07-29,18,14
206,2000,"Iglesias, Enrique",Be With You,3:36,2000-08-05,19,24
207,2000,"Iglesias, Enrique",Be With You,3:36,2000-08-12,20,28
208,2000,Sisqo,Incomplete,3:52,2000-06-24,1,77
209,2000,Sisqo,Incomplete,3:52,2000-07-01,2,66
210,2000,Sisqo,Incomplete,3:52,2000-07-08,3,61
211,2000,Sisqo,Incomplete,3:52,2000-07-15,4,61
212,2000,Sisqo,Incomplete,3:52,2000-07-22,5,61
213,2000,Sisqo,Incomplete,3:52,2000-07-29,6,55
214,2000,Sisqo,Incomplete,3:52,2000-08-05,7,2
215,2000,Sisqo,Incomplete,3:52,2000-08-12,8,1
216,2000,Sisqo,Incomplete,3:52,2000-08-19,9,1
217,2000,Sisqo,Incomplete,3:52,2000-08-26,10,2
218,2000,Sisqo,Incomplete,3:52,2000-09-02,11,2
219,2000,Sisqo,Incomplete,3:52,2000-09-09,12,4
220,2000,Sisqo,Incomplete,3:52,2000-09-16,13,5
221,2000,Sisqo,Incomplete,3:52,2000-09-23,14,5
222,2000,Sisqo,Incomplete,3:52,2000-09-30,15,7
223,2000,Sisqo,Incomplete,3:52,2000-10-07,16,8
224,2000,Sisqo,Incomplete,3:52,2000-10-14,17,10
225,2000,Sisqo,Incomplete,3:52,2000-10-21,18,10
226,2000,Sisqo,Incomplete,3:52,2000-10-28,19,9
227,2000,Sisqo,Incomplete,3:52,2000-11-04,20,14
228,2000,Sisqo,Incomplete,3:52,2000-11-11,21,17
229,2000,Sisqo,Incomplete,3:52,2000-11-18,22,20
230,2000,Sisqo,Incomplete,3:52,2000-11-25,23,25
231,2000,Sisqo,Incomplete,3:52,2000-12-02,24,31
232,2000,Sisqo,Incomplete,3:52,2000-12-09,25,32
233,2000,Sisqo,Incomplete,3:52,2000-12-16,26,46
234,2000,Lonestar,Amazed,4:25,1999-06-05,1,81
235,2000,Lonestar,Amazed,4:25,1999-06-12,2,54
236,2000,Lonestar,Amazed,4:25,1999-06-19,3,44
237,2000,Lonestar,Amazed,4:25,1999-06-26,4,39
238,2000,Lonestar,Amazed,4:25,1999-07-03,5,38
239,2000,Lonestar,Amazed,4:25,1999-07-10,6,33
240,2000,Lonestar,Amazed,4:25,1999-07-17,7,29
241,2000,Lonestar,Amazed,4:25,1999-07-24,8,29
242,2000,Lonestar,Amazed,4:25,1999-07-31,9,32
243,2000,Lonestar,Amazed,4:25,1999-08-07,10,27
244,2000,Lonestar,Amazed,4:25,1999-08-14,11,26
245,2000,Lonestar,Amazed,4:25,1999-08-21,12,24
246,2000,Lonestar,Amazed,4:25,1999-08-28,13,27
247,2000,Lonestar,Amazed,4:25,1999-09-04,14,32
248,2000,Lonestar,Amazed,4:25,1999-09-11,15,33
249,2000,Lonestar,Amazed,4:25,1999-09-18,16,35
250,2000,Lonestar,Amazed,4:25,1999-09-25,17,35
251,2000,Lonestar,Amazed,4:25,1999-10-02,18,40
252,2000,Lonestar,Amazed,4:25,1999-10-09,19,43
253,2000,Lonestar,Amazed,4:25,1999-10-16,20,50
254,2000,Lonestar,Amazed,4:25,1999-12-25,30,45
255,2000,Lonestar,Amazed,4:25,2000-01-01,31,45
256,2000,Lonestar,Amazed,4:25,2000-01-08,32,45
257,2000,Lonestar,Amazed,4:25,2000-01-15,33,23
258,2000,Lonestar,Amazed,4:25,2000-01-22,34,17
259,2000,Lonestar,Amazed,4:25,2000-01-29,35,14
260,2000,Lonestar,Amazed,4:25,2000-02-05,36,17
261,2000,Lonestar,Amazed,4:25,2000-02-12,37,18
262,2000,Lonestar,Amazed,4:25,2000-02-19,38,18
263,2000,Lonestar,Amazed,4:25,2000-02-26,39,3
264,2000,Lonestar,Amazed,4:25,2000-03-04,40,1
265,2000,Lonestar,Amazed,4:25,2000-03-11,41,1
266,2000,Lonestar,Amazed,4:25,2000-03-18,42,2
267,2000,Lonestar,Amazed,4:25,2000-03-25,43,3
268,2000,Lonestar,Amazed,4:25,2000-04-01,44,4
269,2000,Lonestar,Amazed,4:25,2000-04-08,45,4
270,2000,Lonestar,Amazed,4:25,2000-04-15,46,5
271,2000,Lonestar,Amazed,4:25,2000-04-22,47,6
272,2000,Lonestar,Amazed,4:25,2000-04-29,48,8
273,2000,Lonestar,Amazed,4:25,2000-05-06,49,9
274,2000,Lonestar,Amazed,4:25,2000-05-13,50,10
275,2000,Lonestar,Amazed,4:25,2000-05-20,51,12
276,2000,Lonestar,Amazed,4:25,2000-05-27,52,15
277,2000,Lonestar,Amazed,4:25,2000-06-03,53,20
278,2000,Lonestar,Amazed,4:25,2000-06-10,54,22
279,2000,Lonestar,Amazed,4:25,2000-06-17,55,22
280,2000,Lonestar,Amazed,4:25,2000-06-24,56,25
281,2000,Lonestar,Amazed,4:25,2000-07-01,57,26
282,2000,Lonestar,Amazed,4:25,2000-07-08,58,31
283,2000,Lonestar,Amazed,4:25,2000-07-15,59,32
284,2000,Lonestar,Amazed,4:25,2000-07-22,60,37
285,2000,Lonestar,Amazed,4:25,2000-07-29,61,42
286,2000,Lonestar,Amazed,4:25,2000-08-05,62,42
287,2000,Lonestar,Amazed,4:25,2000-08-12,63,45
288,2000,Lonestar,Amazed,4:25,2000-08-19,64,50
289,2000,N'Sync,It's Gonna Be Me,3:10,2000-05-06,1,82
290,2000,N'Sync,It's Gonna Be Me,3:10,2000-05-13,2,70
291,2000,N'Sync,It's Gonna Be Me,3:10,2000-05-20,3,51
292,2000,N'Sync,It's Gonna Be Me,3:10,2000-05-27,4,39
293,2000,N'Sync,It's Gonna Be Me,3:10,2000-06-03,5,26
294,2000,N'Sync,It's Gonna Be Me,3:10,2000-06-10,6,19
295,2000,N'Sync,It's Gonna Be Me,3:10,2000-06-17,7,15
296,2000,N'Sync,It's Gonna Be Me,3:10,2000-06-24,8,9
297,2000,N'Sync,It's Gonna Be Me,3:10,2000-07-01,9,7
298,2000,N'Sync,It's Gonna Be Me,3:10,2000-07-08,10,7
299,2000,N'Sync,It's Gonna Be Me,3:10,2000-07-15,11,5
300,2000,N'Sync,It's Gonna Be Me,3:10,2000-07-22,12,4
301,2000,N'Sync,It's Gonna Be Me,3:10,2000-07-29,13,1
302,2000,N'Sync,It's Gonna Be Me,3:10,2000-08-05,14,1
303,2000,N'Sync,It's Gonna Be Me,3:10,2000-08-12,15,3
304,2000,N'Sync,It's Gonna Be Me,3:10,2000-08-19,16,4
305,2000,N'Sync,It's Gonna Be Me,3:10,2000-08-26,17,6
306,2000,N'Sync,It's Gonna Be Me,3:10,2000-09-02,18,10
307,2000,N'Sync,It's Gonna Be Me,3:10,2000-09-09,19,13
308,2000,N'Sync,It's Gonna Be Me,3:10,2000-09-16,20,15
309,2000,N'Sync,It's Gonna Be Me,3:10,2000-09-23,21,18
310,2000,N'Sync,It's Gonna Be Me,3:10,2000-09-30,22,23
311,2000,N'Sync,It's Gonna Be Me,3:10,2000-10-07,23,28
312,2000,N'Sync,It's Gonna Be Me,3:10,2000-10-14,24,38
313,2000,N'Sync,It's Gonna Be Me,3:10,2000-10-21,25,48
314,2000,"Aguilera, Christina",What A Girl Wants,3:18,1999-11-27,1,71
315,2000,"Aguilera, Christina",What A Girl Wants,3:18,1999-12-04,2,51
316,2000,"Aguilera, Christina",What A Girl Wants,3:18,1999-12-11,3,28
317,2000,"Aguilera, Christina",What A Girl Wants,3:18,1999-12-18,4,18
318,2000,"Aguilera, Christina",What A Girl Wants,3:18,1999-12-25,5,13
319,2000,"Aguilera, Christina",What A Girl Wants,3:18,2000-01-01,6,13
320,2000,"Aguilera, Christina",What A Girl Wants,3:18,2000-01-08,7,11
321,2000,"Aguilera, Christina",What A Girl Wants,3:18,2000-01-15,8,1
322,2000,"Aguilera, Christina",What A Girl Wants,3:18,2000-01-22,9,1
323,2000,"Aguilera, Christina",What A Girl Wants,3:18,2000-01-29,10,2
